Creative Type,US DVD Sales,Running Time (min),Production Budget,Source,US Gross,Title,Release Date,Director,Rotten Tomatoes Rating,Major Genre,Worldwide Gross,Distributor,MPAA Rating,IMDB Rating,IMDB Votes
Contemporary Fiction,0,100,7500000,Original Screenplay,32281907,Rumble in the Bronx,23-Feb-1996,,0,Action,36238752,New Line,R,0,0
Dramatization,0,0,28000000,Based on Real Life Events,31390587,Rob Roy,7-Apr-1995,Michael Caton-Jones,71,Drama,31390587,MGM,R,6.8,15630
Dramatization,0,0,18000000,Based on Real Life Events,23380203,Raging Bull,14-Nov-1980,Martin Scorsese,98,Drama,23380203,MGM,Not Rated,8.4,90015
Historical Fiction,0,0,9200000,Based on Play,2684904,Richard III,29-Dec-1995,,95,Drama,4204857,MGM,R,7.5,6625
Contemporary Fiction,0,0,11000000,Original Screenplay,21171695,Raising Cain,7-Aug-1992,Brian De Palma,53,Thriller/Suspense,21171695,Universal,,5.7,5135
Science Fiction,0,0,13000000,Original Screenplay,53424681,RoboCop,17-Jul-1987,Paul Verhoeven,88,Action,53424681,Orion Pictures,,7.6,52898
Science Fiction,0,0,22000000,Original Screenplay,10696210,RoboCop 3,5-Nov-1993,,0,Action,10696210,Orion Pictures,,3.4,13310
Contemporary Fiction,0,0,40000000,Original Screenplay,38087756,Ri¢hie Ri¢h,21-Dec-1994,Donald Petrie,25,Comedy,38087756,Warner Bros.,PG,4.7,12687
Historical Fiction,0,0,16000000,Original Screenplay,14792779,Radio Days,30-Jan-1987,Woody Allen,95,Comedy,14792779,Orion Pictures,,7.5,10839
Historical Fiction,0,0,35000000,Original Screenplay,4651977,Radio Flyer,21-Feb-1992,Richard Donner,43,Drama,4651977,Sony Pictures,,6.5,6210
,18806836,0,1200000,,2832029,Reservoir Dogs,23-Oct-1992,Quentin Tarantino,96,,2832029,Miramax,R,8.4,212985
Historical Fiction,19608618,0,20000000,Original Screenplay,245034358,Raiders of the Lost Ark,12-Jun-1981,Steven Spielberg,0,Adventure,386800358,Paramount Pictures,PG,8.7,242661
,0,0,3000000,,9012000,Red River,1948,Howard Hawks,100,,9012000,,,7.8,10629
Historical Fiction,0,0,33500000,Based on Book/Short Story,50000000,Reds,4-Dec-1981,Warren Beatty,94,Drama,50000000,Paramount Pictures,,7.4,8455
Historical Fiction,0,0,10000000,Original Screenplay,10019109,Le Violon rouge,11-Jun-1999,,0,Drama,10019109,Lionsgate,R,7.7,14545
Fantasy,0,0,17900000,Based on Book/Short Story,6905861,Red Sonja,28-Jun-1985,Richard Fleischer,20,Action,6905861,MGM,,4.4,11896
Science Fiction,12356425,0,32500000,Original Screenplay,309205079,Star Wars Ep. VI: Return of the Jedi,25-May-1983,Richard Marquand,0,Adventure,572700000,20th Century Fox,PG,0,0
,0,0,15000000,,501752,The Return,6-Feb-2004,,0,Drama,2658490,Kino International,PG-13,2.3,236
Contemporary Fiction,0,87,10000,Original Screenplay,401,The Rise and Fall of Miss Thang,14-Aug-2008,,0,Drama,401,Lavender House Films,Not Rated,0,0
Factual,0,0,140000,Based on Real Life Events,6706368,Roger & Me,20-Dec-1989,Michael Moore,100,Documentary,6706368,Warner Bros.,,7.5,14883
Dramatization,0,0,27000000,Based on Book/Short Story,21500000,The Right Stuff,21-Oct-1983,Philip Kaufman,97,Action,21500000,Warner Bros.,,7.9,24275
,0,0,1200000,,139876417,The Rocky Horror Picture Show,26-Sep-1975,,77,Musical,139876417,20th Century Fox,,7.1,41265
Contemporary Fiction,0,0,10000000,Original Screenplay,30050028,Road House,19-May-1989,,44,Action,30050028,United Artists,,5.8,14085
Contemporary Fiction,0,0,10000000,Original Screenplay,3275585,Romeo Is Bleeding,4-Feb-1994,,24,Drama,3275585,Gramercy,R,6.3,6537
Contemporary Fiction,0,0,2000000,Original Screenplay,0,Rockaway,7-Jul-2007,,0,Drama,0,Off-Hollywood Distribution,R,4.2,232
,0,0,1000000,,117235147,Rocky,21-Nov-1976,John G. Avildsen,0,,225000000,MGM,,4,84
Fantasy,0,0,6200000,,9205924,Return of the Living Dead Part II,15-Jan-1988,,0,Horror,9205924,Lorimar Motion Pictures,,5.1,4661
Contemporary Fiction,0,0,500000,Original Screenplay,1111615,The R.M.,31-Jan-2003,,64,Comedy,1111615,Halestone,PG,5.5,449
Contemporary Fiction,0,0,40000000,Original Screenplay,24172899,Renaissance Man,3-Jun-1994,Penny Marshall,0,Comedy,24172899,Walt Disney Pictures,PG-13,5.9,7650
Contemporary Fiction,0,0,44000000,Based on Book/Short Story,150415432,Rambo: First Blood Part II,22-May-1985,George P. Cosmatos,30,Action,300400000,Sony/TriStar,R,5.8,38548
Contemporary Fiction,0,0,58000000,Based on Book/Short Story,53715611,Rambo III,25-May-1988,,36,Action,188715611,Sony/TriStar,,4.9,31551
Contemporary Fiction,0,120,14500000,Based on Play,46338728,Romeo+Juliet,1-Nov-1996,Baz Luhrmann,0,Drama,147542381,20th Century Fox,PG-13,6.5,78
,0,0,20000000,,0,Ramanujan,31-Dec-2007,Stephen Fry,0,,0,,,0,0
Contemporary Fiction,0,0,25000000,Original Screenplay,172825435,Rain Man,16-Dec-1988,Barry Levinson,87,Comedy,412800000,MGM,,8,106163
,0,0,20000000,,305070,Rapa Nui,11-Sep-1994,Kevin Reynolds,0,,305070,,,6.1,2081
,0,0,17000000,,2000000,Roar,1981,,0,,2000000,,,5.9,228
,0,0,5000000,,36000000,The Robe,16-Sep-1953,,38,,36000000,,,6.7,2913
Contemporary Fiction,0,136,75000000,Original Screenplay,134069511,The Rock,7-Jun-1996,Michael Bay,66,Action,336069511,Walt Disney Pictures,R,7.2,108324
Historical Fiction,0,0,15000000,Based on Book/Short Story,22954968,The Remains of the Day,5-Nov-1993,James Ivory,97,Drama,63954968,Sony/Columbia,,7.9,21736
,0,0,3500000,Original Screenplay,83453539,Airplane!,4-Jul-1980,Jerry Zucker,98,Comedy,83453539,,,7.8,57000
Science Fiction,0,0,1500000,Original Screenplay,2300000,Repo Man,2-Mar-1984,,97,Comedy,2300000,Universal,,6.7,12438
,0,0,1070000,,164649,Rocket Singh: Salesman of the Year,11-Dec-2009,,0,,5348767,Yash Raj Films,,7.5,1436
,0,0,40000000,,7000000,Raise the Titanic,1-Aug-1980,,60,,7000000,,PG,3.9,1757
Historical Fiction,0,0,18000000,Based on Book/Short Story,4100000,Restoration,29-Dec-1995,,0,Drama,4100000,Miramax,R,6.5,4024
Science Fiction,0,0,4000000,,14237880,The Return of the Living Dead,16-Aug-1985,,88,Horror,14237880,Orion Pictures,,7.1,13621
Science Fiction,0,0,2700000,Original Screenplay,0,Rejsen til Saturn,26-Sep-2008,,0,Comedy,2783634,,,5.9,849
Factual,0,0,5000,,1338,Return to the Land of Wonders,13-Jul-2005,,0,Documentary,1338,Arab Film Distribution,Not Rated,8.5,35
Fantasy,0,0,27000000,Based on Book/Short Story,10618813,Return to Oz,21-Jun-1985,,55,Adventure,10618813,Walt Disney Pictures,,6.7,7491
Science Fiction,0,0,30000000,Based on Book/Short Story,38122000,The Running Man,13-Nov-1987,Paul Michael Glaser,63,Action,38122000,Sony/TriStar,,6.4,36308
Contemporary Fiction,0,0,1750000,Original Screenplay,7267324,Run Lola Run,18-Jun-1999,Tom Tykwer,0,Thriller/Suspense,14533173,Sony Pictures,R,6,91
,0,0,350000,,9118,Revolution#9,15-Nov-2002,,0,Thriller/Suspense,9118,,,7.3,252
Contemporary Fiction,0,0,45000000,Original Screenplay,46815000,The River Wild,30-Sep-1994,Curtis Hanson,56,Action,94215000,Universal,PG-13,6.2,14285
Contemporary Fiction,0,0,30000000,Original Screenplay,100125643,Se7en,22-Sep-1995,David Fincher,0,Thriller/Suspense,328125643,New Line,R,8.7,278918
,0,0,1000000,,21210,Safe Men,7-Aug-1998,,58,,21210,October Films,R,5.9,1743
Contemporary Fiction,0,0,4500000,Original Screenplay,13417292,Secrets & Lies,28-Sep-1996,Mike Leigh,94,Drama,13417292,October Films,R,7.9,14364
Contemporary Fiction,0,93,39000000,Based on TV,30356589,Sgt. Bilko,29-Mar-1996,,33,Comedy,37956589,Universal,PG,5.2,9693
Contemporary Fiction,0,0,58000000,Remake,53458319,Sabrina,15-Dec-1995,Sydney Pollack,61,Romantic Comedy,87100000,Paramount Pictures,PG,6,15749
Contemporary Fiction,0,0,2000000,Original Screenplay,390659,Subway,6-Nov-1985,Luc Besson,86,Drama,1663296,Island/Alive,,6.2,5904
Contemporary Fiction,0,0,6000000,Original Screenplay,14545844,School Daze,12-Feb-1988,Spike Lee,58,Drama,14545844,Sony Pictures,,5.3,2667
Historical Fiction,15386092,0,25000000,Remake,44942821,Scarface,9-Dec-1983,Brian De Palma,88,Drama,44942821,Universal,Not Rated,8.2,152262
Dramatization,0,0,25000000,Based on Real Life Events,96067179,Schindler's List,15-Dec-1993,Steven Spielberg,97,Drama,321200000,Universal,R,8.9,276283
,0,0,1800000,Based on Play,8000000,A Streetcar Named Desire,18-Sep-1951,Elia Kazan,0,,8000000,Warner Bros.,,8.1,33781
Contemporary Fiction,0,0,45000000,Original Screenplay,2154540,Shadow Conspiracy,31-Jan-1997,George P. Cosmatos,0,Thriller/Suspense,2154540,Walt Disney Pictures,R,4.7,2427
Factual,0,0,200000,Based on Real Life Events,381225,Short Cut to Nirvana: Kumbh Mela,22-Oct-2004,,75,Documentary,439651,Mela Films,Not Rated,6.9,105
Dramatization,0,0,12000000,Based on Book/Short Story,30000000,Spartacus,7-Oct-1960,Stanley Kubrick,96,Action,60000000,Universal,,8,50856
,0,0,450000,,410919,Sunday,22-Aug-1997,,79,Drama,450349,,,6.9,436
,0,0,200000,,2000000,She Done Him Wrong,9-Feb-1933,,100,,2000000,,,6.7,1795
,65505095,0,3500000,,0,"Secret, The",7-Nov-2006,,0,Documentary,0,,Not Rated,0,0
,0,0,5000000,,0,Sea Rex 3D: Journey to a Prehistoric World,TBD,,0,,0,3D Entertainment,,0,0
,0,0,4500000,,3500000,State Fair,9-Mar-1962,,14,,3500000,,,5.7,436
,0,0,250000,,18195,Sticky Fingers of Time,8-Jan-1999,,0,Thriller/Suspense,20628,Strand,,0,0
Science Fiction,8962832,0,7000000,Based on TV,0,Stargate - The Ark of Truth,11-Mar-2008,,0,Action,0,,,0,0
Contemporary Fiction,0,0,175000,Original Screenplay,7137502,She's Gotta Have It,8-Aug-1986,Spike Lee,93,Comedy,7137502,Island,,6.2,2594
Science Fiction,0,0,55000000,Original Screenplay,71565669,Stargate,28-Oct-1994,Roland Emmerich,46,Action,196565669,MGM,PG-13,6.7,47174
Super Hero,0,0,40000000,Based on Comic/Graphic Novel,31835600,The Shadow,1-Jul-1994,Russell Mulcahy,34,Action,31835600,Universal,PG-13,5.6,9530
,0,0,2300000,,11000000,Show Boat,24-Sep-1951,,89,,11000000,,,6.9,1788
Dramatization,0,0,22000000,Based on Play,25842377,Shadowlands,29-Dec-1993,Sir Richard Attenborough,96,Drama,25842377,Savoy,R,7.4,7689
,0,0,17000000,,2315000,Shanghai Surprise,29-Aug-1986,,14,,2315000,MGM,,2.6,2591
,0,0,1455000,,2620000,Shalako,1968,,0,,2620000,,,5.3,1090
Contemporary Fiction,0,0,25000000,Based on Comic/Graphic Novel,5778353,Sheena,17-Aug-1984,John Guillermin,38,Adventure,5778353,Sony/Columbia,,4.3,1598
Dramatization,0,105,5500000,Based on Real Life Events,35811509,Shine,22-Nov-1996,Scott Hicks,90,Drama,35811509,Fine Line,PG-13,7.6,22439
Fantasy,0,0,19000000,Based on Book/Short Story,44017374,The Shining,23-May-1980,Stanley Kubrick,87,Horror,44017374,Warner Bros.,,8.5,177762
Historical Fiction,0,0,8500000,Based on Book/Short Story,15024232,Haakon Haakonsen,1-Mar-1991,,0,Adventure,15024232,Walt Disney Pictures,,6.4,1125
Contemporary Fiction,0,0,40000000,Original Screenplay,14375181,Ishtar,15-May-1987,,19,Comedy,14375181,Sony Pictures,,3.7,6094
Contemporary Fiction,0,0,40000000,Original Screenplay,20254932,Showgirls,22-Sep-1995,Paul Verhoeven,12,Drama,20254932,MGM,NC-17,4.1,27004
Historical Fiction,0,0,25000000,Based on Book/Short Story,28241469,The Shawshank Redemption,23-Sep-1994,Frank Darabont,88,Drama,28241469,Sony Pictures,R,9.2,519541
Fantasy,0,0,7000000,Based on Book/Short Story,10803211,Silver Bullet,11-Oct-1985,,50,Horror,10803211,Paramount Pictures,,5.9,6387
,0,0,200000,Original Screenplay,44701,Side Effects,9-Sep-2005,,11,Romantic Comedy,44701,Sky Island,R,0,0
Contemporary Fiction,0,120,9000000,Original Screenplay,36049108,Set It Off,6-Nov-1996,F. Gary Gray,61,Drama,36049108,New Line,R,6.3,4570
Contemporary Fiction,0,0,20000000,Based on Book/Short Story,130726716,The Silence of the Lambs,14-Feb-1991,Jonathan Demme,96,Thriller/Suspense,275726716,Orion Pictures,,8.7,244856
Contemporary Fiction,0,0,2600000,Original Screenplay,0,Silver Medalist,29-Feb-2008,,0,Black Comedy,0,,,0,0
,0,0,15000000,,76382,Silent Trigger,26-Jun-1996,Russell Mulcahy,0,,76382,,,5.2,1364
Fantasy,0,93,14000000,Based on Book/Short Story,15171475,Thinner,25-Oct-1996,,18,Horror,15171475,Paramount Pictures,R,5.3,7888
Contemporary Fiction,0,133,4833610,Based on Short Film,24475416,Sling Blade,20-Nov-1996,,96,Drama,34175000,Miramax,R,8,41785
,0,0,23000,,1227508,Slacker,1-Aug-1991,Richard Linklater,83,,1227508,,,6.9,5907
,0,0,2883848,,25000000,Some Like it Hot,29-Mar-1959,Billy Wilder,97,,25000000,,,8.3,67157
Historical Fiction,0,0,50000000,Based on Book/Short Story,10359006,The Scarlet Letter,13-Oct-1995,Roland Joffe,15,Drama,10359006,Walt Disney Pictures,R,4.6,6155
,0,0,8500000,,298347,Silmido,23-Apr-2004,,0,Action,30298347,Cinema Service,Not Rated,7.1,1724
,0,0,2000000,Original Screenplay,18344729,Sleeper,17-Dec-1973,Woody Allen,100,Comedy,18344729,MGM,,7.3,15466
Dramatization,0,105,44000000,Based on Book/Short Story,53300852,Sleepers,18-Oct-1996,Barry Levinson,73,Drama,165600852,Warner Bros.,R,7.3,51874
,0,0,500000,,13134,The Slaughter Rule,10-Jan-2003,,0,,13134,,R,6,1136
,0,0,5000000,,11000000,Solomon and Sheba,1-Jan-1959,King Vidor,0,,11000000,,,6,915
Contemporary Fiction,0,0,2500000,Based on Book/Short Story,2013052,Sur Le Seuil,3-Oct-2003,,0,Drama,2013052,Alliance,Not Rated,6.7,585
Contemporary Fiction,0,0,6000000,Original Screenplay,23341568,The Usual Suspects,16-Aug-1995,Bryan Singer,87,Drama,23341568,Gramercy,R,8.7,266890
Historical Fiction,0,0,26000000,Original Screenplay,33200000,Silverado,10-Jul-1985,Lawrence Kasdan,76,Western,33200000,Sony/Columbia,,7,14243
,0,0,4500000,Original Screenplay,1500000,Salvador,23-Apr-1986,,91,Drama,1500000,Hemdale,,7.5,7797
,0,0,1200000,,24741667,"Sex, Lies, and Videotape",4-Aug-1989,Steven Soderbergh,97,,36741667,Miramax,,0,0
Contemporary Fiction,0,0,400000,Original Screenplay,0,Show Me,4-Nov-2005,,0,Thriller/Suspense,0,Wolfe Releasing,R,5.9,288
Contemporary Fiction,0,0,1300000,Original Screenplay,4055,Simon,7-Apr-2006,,0,Comedy,4055,Strand,,8,4873
Fantasy,0,0,42000000,Based on Game,20844907,Super Mario Bros.,28-May-1993,,0,Action,20844907,Walt Disney Pictures,,3.8,17281
Fantasy,0,0,5100000,Based on Book/Short Story,9709597,Somewhere in Time,3-Oct-1980,,63,Drama,9709597,Universal,,7,8787
Contemporary Fiction,0,0,2000000,Based on Book/Short Story,6719300,Smoke Signals,26-Jun-1998,,86,Comedy,7756617,Miramax,PG-13,6.9,5058
Contemporary Fiction,0,0,13000000,Original Screenplay,7881335,Serial Mom,13-Apr-1994,John Waters,61,Comedy,7881335,Savoy,R,6.4,10999
Contemporary Fiction,0,0,3000000,Original Screenplay,95204,Sommersturm,17-Mar-2006,,0,Drama,95204,Regent Releasing,R,7.6,5251
,0,0,4400000,Original Screenplay,36145695,Silent Movie,25-Jun-1976,Mel Brooks,89,Comedy,36145695,20th Century Fox,,6.4,6248
Kids Fiction,0,0,22000000,Original Screenplay,144833357,The Santa Clause,11-Nov-1994,John Pasquin,79,Comedy,189800000,Walt Disney Pictures,PG,6.1,17773
Contemporary Fiction,0,0,500000,Original Screenplay,1250798,The Singles Ward,1-Feb-2002,,50,Comedy,1250798,Halestorm Entertainment,PG,5.7,736
Historical Fiction,0,0,16500000,Based on Book/Short Story,42993774,Sense and Sensibility,11-Dec-1995,Ang Lee,98,Drama,134993774,Sony Pictures,PG,7.7,31279
,0,0,2540000,,3600000,Singin' in the Rain,10-Apr-1952,Stanley Donen,100,,3600000,MGM,,8.4,55352
,0,0,200000,Original Screenplay,6260,Solitude,7-Jan-2005,,0,Drama,6260,Indican Pictures,Not Rated,4.8,82
Historical Fiction,0,0,8200000,Based on Book/Short Story,163214286,The Sound of Music,"April, 1965",Robert Wise,81,Musical,286214286,20th Century Fox,,6.3,45
Contemporary Fiction,0,0,3500000,Original Screenplay,9482579,She's the One,23-Aug-1996,Edward Burns,60,Romantic Comedy,13795053,Fox Searchlight,R,6,8159
,0,0,450000,,2712293,Straight out of Brooklyn,1991,,100,,2712293,,,5.6,263
Science Fiction,0,0,22700000,Original Screenplay,38119483,Spaceballs,24-Jun-1987,Mel Brooks,65,Comedy,38119483,MGM,,6.9,52434
Contemporary Fiction,0,0,30000000,Original Screenplay,121248145,Speed,10-Jun-1994,Jan De Bont,90,Action,283200000,20th Century Fox,R,2.6,4175
Science Fiction,0,0,35000000,Original Screenplay,60054449,Species,7-Jul-1995,Roger Donaldson,39,Action,113354449,MGM,R,5.6,21917
Contemporary Fiction,0,0,10000000,Based on Book/Short Story,2000000,Sphinx,11-Feb-1981,Franklin J. Schaffner,0,Thriller/Suspense,11400000,Orion Pictures,,4.9,478
Science Fiction,0,0,3000000,Original Screenplay,15000000,Spaced Invaders,27-Apr-1990,Patrick Read Johnson,9,Comedy,15000000,Walt Disney Pictures,,4.8,1464
,0,0,1500000,,7000000,Spellbound,1945,Alfred Hitchcock,87,,7000000,ThinkFilm,G,7.7,14665
Fantasy,0,0,8000000,Original Screenplay,62599495,Splash,9-Mar-1984,Ron Howard,91,Comedy,62599495,Walt Disney Pictures,,6.2,21732
Super Hero,0,0,17000000,Based on Comic/Graphic Novel,11227824,Superman IV: The Quest for Peace,24-Jul-1987,Sidney J. Furie,0,Action,11227824,Warner Bros.,,3.4,15164
Super Hero,0,0,50000000,Based on Comic/Graphic Novel,108185706,Superman II,19-Jun-1981,Richard Donner,0,Adventure,108185706,Warner Bros.,,6.7,29512
Super Hero,0,0,39000000,Based on Comic/Graphic Novel,59950623,Superman III,17-Jun-1983,,23,Adventure,59950623,Warner Bros.,,4.7,18070
,0,0,1000000,,5494,Sparkler,19-Mar-1999,,17,,5494,Strand,R,5.5,320
Super Hero,0,0,55000000,Based on Comic/Graphic Novel,134218018,Superman,15-Dec-1978,Richard Donner,94,Adventure,300200000,Warner Bros.,PG,4.9,129
Contemporary Fiction,0,0,45000000,Based on Book/Short Story,57362581,The Specialist,7-Oct-1994,,4,Action,57362581,Warner Bros.,R,4.9,18749
,0,0,21600000,,12000000,The Sorcerer,24-Jun-1977,William Friedkin,0,,12000000,,,6.8,563
Factual,0,0,300000,Based on Real Life Events,33312,Sisters in Law,12-Apr-2006,,0,Documentary,33312,Women Make Movies,Not Rated,6.7,203
Contemporary Fiction,0,0,35000000,Based on Book/Short Story,2221994,Smilla's Sense of Snow,28-Feb-1997,Bille August,53,Thriller/Suspense,2221994,Fox Searchlight,R,6.1,7280
Contemporary Fiction,0,0,50000000,Original Screenplay,30306268,Assassins,6-Oct-1995,Richard Donner,9,Action,83306268,Warner Bros.,R,5.9,23370
Science Fiction,0,0,35000000,Based on TV,82258456,Star Trek: The Motion Picture,7-Dec-1979,Robert Wise,48,Adventure,139000000,Paramount Pictures,PG,6.2,25454
Science Fiction,0,0,18000000,Based on TV,76471046,Star Trek III: The Search for Spock,1-Jun-1984,Leonard Nimoy,0,Adventure,87000000,Paramount Pictures,,6.5,22261
Science Fiction,0,0,24000000,Based on TV,109713132,Star Trek IV: The Voyage Home,26-Nov-1986,Leonard Nimoy,0,Adventure,133000000,Paramount Pictures,,7.3,26207
Historical Fiction,0,0,8000000,Based on Book/Short Story,52287414,Stand by Me,8-Aug-1986,Rob Reiner,94,Drama,52287414,Sony/Columbia,,8.2,90143
Contemporary Fiction,0,0,25000000,Original Screenplay,9286314,Stone Cold,17-May-1991,,29,Action,9286314,Sony Pictures,R,4.6,52
,0,0,200000,,13500000,The Stewardesses,25-Jul-1969,,0,,25000000,,,4.3,86
Contemporary Fiction,0,0,35000000,Based on Game,33423000,Street Fighter,23-Dec-1994,,13,Action,99423000,Universal,PG-13,3.3,25407
Science Fiction,0,0,12000000,Based on TV,79912963,Star Trek II: The Wrath of Khan,4-Jun-1982,,0,Adventure,96800000,Paramount Pictures,PG,7.8,36131
,0,0,15000000,,220944,Steal (Canadian Release),25-Apr-2003,,0,,220944,,Not Rated,0,0
Historical Fiction,0,0,5500000,Original Screenplay,159616327,The Sting,25-Dec-1973,George Roy Hill,91,,159616327,Universal,,8.4,65866
Dramatization,0,99,2000000,Based on Real Life Events,304602,Stonewall,26-Jul-1996,,0,Drama,304602,Strand,R,7,741
Science Fiction,0,0,30000000,Based on TV,52210049,Star Trek V: The Final Frontier,9-Jun-1989,,0,Action,70200000,Paramount Pictures,,5,20600
Science Fiction,0,0,27000000,Based on TV,74888996,Star Trek VI: The Undiscovered Country,6-Dec-1991,,0,Action,96900000,Paramount Pictures,,7.2,23546
Science Fiction,0,0,38000000,Based on TV,75671262,Star Trek: Generations,18-Nov-1994,,0,Adventure,120000000,Paramount Pictures,PG,6.5,26465
Contemporary Fiction,0,0,10000000,Original Screenplay,85300000,Stripes,26-Jun-1981,Ivan Reitman,88,Comedy,85300000,Sony Pictures,R,6.8,19618
Contemporary Fiction,0,115,50000000,Based on Book/Short Story,32773011,Striptease,28-Jun-1996,Andrew Bergman,12,Comedy,32773011,Sony Pictures,R,3.9,18012
Science Fiction,11182540,0,11000000,Original Screenplay,460998007,Star Wars Ep. IV: A New Hope,25-May-1977,George Lucas,0,Adventure,797900000,20th Century Fox,PG,0,0
Dramatization,0,90,780000,Based on Real Life Events,1310470,Saints and Soldiers,6-Aug-2004,Ryan Little,0,Drama,1310470,Excel Entertainment,PG-13,7,7581
Contemporary Fiction,0,0,1000000,Original Screenplay,0,Steppin: The Movie,2008,,0,Comedy,0,Weinstein Co.,,3.3,108
,0,0,1200000,,7000000,Strangers on a Train,3-Jul-1951,Alfred Hitchcock,98,,7000000,Warner Bros.,PG,8.3,34284
Contemporary Fiction,0,0,10000000,Original Screenplay,18272447,Sugar Hill,25-Feb-1994,,22,Drama,18272447,20th Century Fox,R,5.3,1627
,0,0,5700000,,69582,Stiff Upper Lips,27-Aug-1999,,29,,69582,Cowboy Pictures,,6.1,543
Historical Fiction,0,0,500000,Original Screenplay,271736,Shichinin no samurai,19-Nov-1956,Akira Kurosawa,0,Action,271736,Cowboy Pictures,,8.8,96698
,0,0,20000000,,8000000,Sweet Charity,1969,Bob Fosse,0,,8000000,,,7,1691
,0,0,1000000,,7800000,Sands of Iwo Jima,1949,,100,,7800000,,,7.1,4160
Contemporary Fiction,0,0,14000000,Based on Book/Short Story,46800000,The Spy Who Loved Me,13-Jul-1977,,78,Action,185400000,MGM,,7.1,24938
,0,0,10000000,,245359,The Swindle,25-Dec-1998,,0,Comedy,5045359,New Yorker,,5.2,1417
Contemporary Fiction,0,0,200000,Original Screenplay,4505922,Swingers,18-Oct-1996,Doug Liman,86,Comedy,6542637,Miramax,R,6.2,431
Fantasy,0,0,1488000,Traditional/Legend/Fairytale,184925485,Snow White and the Seven Dwarfs,21-Dec-1937,,97,Musical,184925485,Walt Disney Pictures,,7.8,38141
Contemporary Fiction,0,0,5000000,Based on Book/Short Story,4306697,The Sweet Hereafter,10-Oct-1997,Atom Egoyan,100,Drama,4306697,Fine Line,R,7.8,16280
,0,0,1600000,,5400000,She Wore a Yellow Ribbon,1949,John Ford,100,,5400000,,,7.3,5825
Factual,0,0,1100000,Based on Real Life Events,247740,Sex with Strangers,22-Feb-2002,,39,Documentary,247740,,Not Rated,5,151
Contemporary Fiction,0,81,18000000,Original Screenplay,26936265,Spy Hard,24-May-1996,,7,Comedy,26936265,Walt Disney Pictures,PG-13,4.7,12682
,0,0,23000000,,0,Shi Yue Wei Cheng,18-Dec-2009,,0,,44195779,,,6.9,1795
Historical Fiction,0,0,4500000,Original Screenplay,1687311,Tango,12-Feb-1999,,0,Drama,1687311,Sony Pictures Classics,PG-13,6.9,1490
Historical Fiction,0,0,34000000,Based on Book/Short Story,32014993,The Age of Innocence,17-Sep-1993,Martin Scorsese,81,Drama,32014993,Sony/Columbia,,7.1,16000
Contemporary Fiction,0,0,4000000,Based on Book/Short Story,3468572,Talk Radio,1-Dec-1988,Oliver Stone,80,Drama,3468572,Universal,,7,5659
,0,0,140000,,26572439,The Texas Chainsaw Massacre,18-Oct-1974,Tobe Hooper,90,Horror,26572439,New Line,R,6.1,39172
Contemporary Fiction,0,0,4700000,Remake,8025872,The Texas Chainsaw Massacre 2,22-Aug-1986,Tobe Hooper,43,Horror,8025872,Cannon,,5.1,7702
Science Fiction,0,0,28000000,Based on Comic/Graphic Novel,44853581,Timecop,16-Sep-1994,Peter Hyams,47,Action,102053581,Universal,R,5.5,16570
Contemporary Fiction,0,105,45000000,Original Screenplay,53854588,Tin Cup,16-Aug-1996,Ron Shelton,69,Romantic Comedy,75854588,Warner Bros.,R,6.1,17274
,0,0,3000000,,13000000,Torn Curtain,16-Jul-1966,Alfred Hitchcock,81,,13000000,,,6.6,8670
Contemporary Fiction,0,0,20000000,Based on Book/Short Story,21284514,To Die For,27-Sep-1995,Gus Van Sant,87,Black Comedy,27688744,Sony Pictures,R,6.8,18459
,0,0,3500000,,8000000,Terror Train,1980,Roger Spottiswoode,33,,8000000,,,5.5,2479
Fantasy,0,0,3000000,Original Screenplay,7888000,Teen Wolf Too,20-Nov-1987,,14,Comedy,7888000,Atlantic,,2.8,5207
Contemporary Fiction,0,117,55000000,Based on Book/Short Story,18582965,The Fan,16-Aug-1996,Tony Scott,40,Thriller/Suspense,18582965,Sony Pictures,R,5.6,20640
Contemporary Fiction,0,0,2600000,Original Screenplay,0,Timber Falls,7-Dec-2007,,38,Horror,0,Slowhand Cinema,R,5.3,2213
Historical Fiction,0,0,12500000,Original Screenplay,1110186,Tae Guik Gi: The Brotherhood of War,3-Sep-2004,,0,Drama,69826708,IDP Distribution,R,0,0
Contemporary Fiction,0,0,250000,Original Screenplay,2210408,The Incredibly True Adventure of Two Girls in Love,16-Jun-1995,,0,Drama,2477155,Fine Line,R,5.8,1795
Contemporary Fiction,0,0,10500000,Original Screenplay,125169,There Goes My Baby,2-Sep-1994,,0,Comedy,125169,Orion Pictures,R,6.3,507
Science Fiction,0,0,25000000,Based on Comic/Graphic Novel,4064333,Tank Girl,1-Mar-1995,,42,Action,4064333,MGM,R,4.7,10772
Contemporary Fiction,0,0,15000000,Original Screenplay,176786701,Top Gun,16-May-1986,Tony Scott,45,Action,353786701,Paramount Pictures,,6.5,80013
,0,0,9000000,Based on Book/Short Story,63600000,Thunderball,29-Dec-1965,,91,Action,141200000,MGM,,7,27245
,0,0,2500000,,0,The Calling,31-Dec-2009,,0,,0,,,3.4,1113
Fantasy,0,100,15000000,Original Screenplay,24769466,The Craft,3-May-1996,Andrew Fleming,45,Thriller/Suspense,55669466,Sony Pictures,R,5.9,21130
